Nombre;Marca;Precio_actual;Precio_antiguo;Precio_Oh;SKU;Categoria;Enlace;Stock;Imagen_URL
"Televisor TCL LED 65"" UHD 4K Smart TV 65V6C";TCL;1.399;1.899;1.299;11640487;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-tcl-led-65--uhd-4k-smart-tv-65v6c/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31463068-290-290/20467847.jpg?v=638852266292400000
Televisor LG LED 65'' UHD 4K ThinQ AI 65UT7300 (2024);LG;1.599;2.599;1.499;11425708;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-lg-led-65-uhd-4k-thinq-ai-65ut7300-2024/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/29586232-290-290/20424539.jpg?v=638815378371970000
"Televisor TCL QLED 55"" UHD 4K Smart TV 55P7K";TCL;1.249;1.749;1.149;11815048;Tecnología / Televisores / TV QLED;https://www.plazavea.com.pe/televisor-tcl-qled-55--uhd-4k-smart-tv-55p7k/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31489424-290-290/20468628.jpg?v=638853781082670000
"Televisor BLACKLINE LED 32"" HD Smart TV BL32-T3000HD";BLACKLINE;399;699;359;11402023;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-blackline-led-32--hd-smart-tv-bl32t3000hd/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31247323-290-290/20422735.jpg?v=638808487348230000
"Televisor BLACKLINE QLED 50"" UHD 4K Smart TV T6210QD";BLACKLINE;949;1.699;849;11495848;Tecnología / Televisores / TV QLED;https://www.plazavea.com.pe/televisor-blackline-qled-50--uhd-4k-smart-tv-t6210qd/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31247368-290-290/20463084.jpg?v=638808487722600000
"Televisor BLACKLINE LED 50"" UHD 4K Smart TV T3000UD";BLACKLINE;849;1.499;759;11495846;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-blackline-led-50--uhd-4k-smart-tv-t3000ud/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31247348-290-290/20463080.jpg?v=638808487577300000
"Televisor BLACKLINE 43"" UHD 4K Smart TV BL43-T3000UD";BLACKLINE;699;1.099;649;11495905;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-blackline-43--uhd-4k-smart-tv-bl43t3000ud/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31247340-290-290/20447533.jpg?v=638815381940170000
"Televisor HISENSE LED ""55 UHD 4K Smart TV 55A5NV";HISENSE;999;1.499;899;11891524;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-hisense-led--55-uhd-4k-smart-tv-55a5nv/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31681193-290-290/20505473.jpg?v=638876021738770000
"Televisor HISENSE QLED ""50 UHD 4K Smart TV 50Q6QV";HISENSE;999;1.399;899;11891525;Tecnología / Televisores / TV QLED;https://www.plazavea.com.pe/televisor-hisense-qled--50-uhd-4k-smart-tv-50q6qv/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31681207-290-290/20505462.jpg?v=638876021859900000
"Televisor TCL LED 50"" UHD 4K Smart TV 50C6V";TCL;1.099;1.699;1.029;11809979;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-tcl-led-50--uhd-4k-smart-tv-50c6v/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31489401-290-290/20467845.jpg?v=638853780791700000
Televisor LG LED 55'' UHD 4K ThinQ AI 55UT7300 (2024);LG;1.199;2.199;1.099;11425700;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-lg-led-55-uhd-4k-thinq-ai-55ut7300-2024/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/29586222-290-290/20424533.jpg?v=638633133281200000
"Televisor TCL QLED 75"" UHD 4K Smart TV 75T6C";TCL;2.799;2.999;2.599;11663342;Tecnología / Televisores / TV QLED;https://www.plazavea.com.pe/televisor-tcl-qled-75--uhd-4k-smart-tv-75t6c/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31300461-290-290/20468652.jpg?v=638818698500500000
"Televisor SAMSUNG CRYSTAL UHD 50"" UHD 4K Smart TV UN50DU7000GXPE";SAMSUNG;1.349;1.799;;11430241;Tecnología / Televisores / TV CRYSTAL UHD;https://www.plazavea.com.pe/televisor-samsung-crystal-uhd-50--uhd-4k-smart-tv-un50du7000gxpe/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31300434-290-290/20425221.jpg?v=638818697749400000
"Televisor SAMSUNG CRYSTAL UHD 55"" UHD 4K Smart TV UN55DU7000GXPE";SAMSUNG;1.599;1.999;1.499;11430238;Tecnología / Televisores / TV CRYSTAL UHD;https://www.plazavea.com.pe/televisor-samsung-crystal-uhd-55--uhd-4k-smart-tv-un55du7000gxpe/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31300421-290-290/20425219.jpg?v=638818697665000000
"Televisor TCL LED 43"" UHD 4K Smart Tv 43P635";TCL;699;1.099;649;11129386;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-tcl-led-43--uhd-4k-smart-tv-43p635/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/27596512-290-290/20377868.jpg?v=638320037606470000
"Televisor BLACKLINE LED 43"" FHD Smart TV BL43-T3000FHD";BLACKLINE;699;899;659;11451713;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-blackline-led-43--fhd-smart-tv-bl43t3000fhd/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31247331-290-290/20422737.jpg?v=638809549302600000
"Televisor SAMSUNG CRYSTAL UHD 65"" UHD 4K Smart TV UN65DU7000GXPE";SAMSUNG;1.899;2.599;1.749;11430233;Tecnología / Televisores / TV CRYSTAL UHD;https://www.plazavea.com.pe/televisor-samsung-crystal-uhd-65--uhd-4k-smart-tv-un65du7000gxpe/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31300407-290-290/20425208.jpg?v=638818697578430000
"Televisor LG 43"" UHD Smart TV AI UT73 4k 43UT7300PSA + Control Remoto Magic";LG;1.149;1.499;1.049;11845490;Tecnología / Televisores;https://www.plazavea.com.pe/televisor-lg-43--uhd-smart-tv-ai-ut73-4k-43ut7300psa---control-remoto-magic-101469771/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31441284-290-290/image-046a41e5fcc34264abc451b2579ba0b6.jpg?v=638848208862330000
Televisor Samsung 55'' QN55Q65DAGXPE QLED 4K Q65D Tizen OS Smart TV Titan Gray;SAMSUNG;1.449;2.799;1.249;11449933;Tecnología / Televisores / TV QLED;https://www.plazavea.com.pe/televisor-samsung-55---qn55q65dagxpe-qled-4k-q65d-tizen-os-smart-tv-titan-gray-101080786/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31458314-290-290/2667359.jpg?v=638852194178770000
"Televisor Hyundai Led 40"" HYLED4023GiM FHD Smart TV";HYUNDAI;559;799;479;11340387;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-hyundai-led-40--hyled4023gim-fhd-smart-tv-100971496/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31456268-290-290/2574601.jpg?v=638852191987070000
Televisor LG LED 75'' UHD 4K ThinQ AI 75UT8050 (2024);LG;2.599;3.799;;11425695;Tecnología / Televisores / TV LED;https://www.plazavea.com.pe/televisor-lg-led-75-uhd-4k-thinq-ai-75ut8050-2024/p;Sí;https://plazavea.vteximg.com.br/arquivos/ids/31257532-290-290/20424527.jpg?v=638815374785500000
